name of the project (or contract addresses if unknown),status (active/dead),chain of activity,estimated daily usage (if not dead)
World of Dypians,active,Nebula,375652
Europa USDC (0xcc205196…276d),active,Nebula,1562
MotoDEX,active,Nebula,1361
KICKDOMPlayers (0x5e004364…d1e8),active,Nebula,120
Crossmint,active,Nebula,0
For Loot And Glory,active,Nebula,0
Olderfall,active,Nebula,0
Token Tails,active,Nebula,0
Hello Pixel,active,Europa,36052
Razor Network,active,Europa,1925
0x3c2269811836af69497e5f486a85d7316753cf62,active,Europa,1443
AutoclaimNFT (0xbdb897cc…6bcc),active,Europa,1215
SKALE (0xe0595a04…dc50),active,Europa,1101
PayableCore (0x86cbf322…bdfb),active,Europa,949
TransparentUpgradeableProxy (0x0d66ca00…f78d),active,Europa,190
FloatMiner (0xbedccebb…0345),active,Europa,38
MarketplaceV5Wrap (0x41565e90…85f5),active,Europa,38
ZoteCashMarketV3 (0xe8e9a15e…d22e),active,Europa,38
Zote,active,Europa,4
Meson.Fi,active,Europa,2
(other unlisted contracts on Europa),active,Europa,1
SushiSwap,active,Europa,0
Pixudi,active,Calypso,1440000
ERC1967Proxy (0x579916a6…d9d5),active,Calypso,112
ScoreDetect,active,Calypso,1
CACZero,active,Calypso,0
Chaindoc,active,Calypso,0
5TARS,dead,Nebula,
Another World,dead,Nebula,
Arena VS,dead,Nebula,
Billions Quest,dead,Nebula,
Bit Hotel,dead,Nebula,
ChainGuardians,dead,Nebula,
Codyfight,dead,Nebula,
CropBytes Conquest,dead,Nebula,
CryptoCrusades,dead,Nebula,
Data2073,dead,Nebula,
DexGO,dead,Nebula,
EtherStrike,dead,Nebula,
Haven's Compass,dead,Nebula,
Heroes Battle Arena,dead,Nebula,
Hurley,dead,Nebula,
It Remains,dead,Nebula,
KickDOM,dead,Nebula,
MetaSoccer,dead,Nebula,
MFF Game,dead,Nebula,
Napft,dead,Nebula,
Peer2Play,dead,Nebula,
PixelRealm,dead,Nebula,
Roro Birds,dead,Nebula,
Sequence,dead,Nebula,
STARZPLAY Fantasy Sports,dead,Nebula,
Swing To Earn,dead,Nebula,
TENAMINT,dead,Nebula,
WarEden,dead,Nebula,
World3,dead,Nebula,
Yomi Games,dead,Nebula,
Capital DEX,dead,Europa,
Kommunitas,dead,Europa,
Unipoly Coin,dead,Europa,
AvatarPose,dead,Calypso,
Dmail,dead,Calypso,
Hitmakr,dead,Calypso,
Reneverse,dead,Calypso,
SIRKL,dead,Calypso,
Tom Talk,dead,Calypso,
XO,dead,Calypso,
